ds,yhat,yhat_lower,yhat_upper
2022-02-12,18388.40771837439,10897.908908677864,26658.174888631234
2022-02-13,18158.048916105323,10903.432791938621,25474.428172664073
2022-02-14,17206.09247842202,9478.481887126629,24731.632923706227
2022-02-15,18455.574941279414,10776.321874965159,26051.207340240104
2022-02-16,17163.777088187093,9704.02634017059,24756.504792354703
2022-02-17,17934.37992584368,9967.374507668357,25416.5753786069
2022-02-18,17626.26172068521,10014.002413234182,25558.649701760995
2022-02-19,17547.72629915829,10373.799853711094,24861.492298101442
2022-02-20,17423.575660032926,9911.546676128888,25322.60963047001
2022-02-21,16594.236120526333,9256.571576031196,23753.507342608485
2022-02-22,17980.76251299763,10575.837955925,25052.85835514767
2022-02-23,16838.007751388817,9393.445541362076,24078.822986408828
2022-02-24,17766.830619745528,9940.351057817874,25122.01194903776
2022-02-25,17622.957496117244,9989.234888175128,24588.85571811399
2022-02-26,17711.286582095887,10531.387320788885,25523.17548006285
2022-02-27,17753.045686862282,10146.285749022607,25165.889638782093
2022-02-28,17085.01047649089,9532.384398975992,24475.235526040004
2022-03-01,18624.605147901188,10887.852254735924,26200.628174202862
2022-03-02,17623.170115699708,10216.77550158035,24836.58255896549
2022-03-03,18678.26674038538,11332.053849669326,26610.525965663197
2022-03-04,18642.631976285073,11468.874205187323,26260.881944543133
2022-03-05,18818.568748891863,11485.604371202076,26367.35230543877
2022-03-06,18925.18050692659,11638.873224797388,26495.939403548036
2022-03-07,18297.654492898968,11171.581269321574,25184.584692853346
2022-03-08,19852.41363423995,12320.508502299846,27296.1088085295
2022-03-09,18840.41996041785,11226.201721600291,26084.870356638985
2022-03-10,19859.498320306197,12118.719423129214,26916.08624831137
2022-03-11,19763.292494834317,11811.102843307879,27875.86312899385
2022-03-12,19855.639230409648,12280.5859239283,27174.626949848647
2022-03-13,19857.768866929993,12229.914936296896,27457.491698169342
2022-03-14,19107.537849827688,11415.675650587797,26866.17959528219
2022-03-15,20524.51425729398,13184.007024461753,28106.853073672144
2022-03-16,19363.200959393063,11591.764405765625,26443.077021346988
2022-03-17,20225.267301707434,12737.126598669818,27277.35080873017
2022-03-18,19968.40389444771,12130.390403653033,27007.04059889635
2022-03-19,19900.58881077457,12869.180618770875,27502.428245130526
2022-03-20,19747.176862294375,12288.338496075252,26654.24963716964
2022-03-21,18850.02036008244,10618.88059695341,25973.772387144534
2022-03-22,20132.44566404177,12672.509195788412,27666.530409026745
2022-03-23,18852.373240432764,11889.050934743893,26982.939323113937
2022-03-24,19614.45509350181,12246.288657838659,27376.097961943982
2022-03-25,19278.846890406865,11983.936283980482,26498.29253706281
2022-03-26,19155.405510958193,11299.025498132378,26478.96138059574
2022-03-27,18970.72573349273,11816.51560706883,26282.32983058381
2022-03-28,18067.226062268,9997.172999974628,25310.477415127923
2022-03-29,19368.109099910067,10995.179647445868,26725.86178677433
2022-03-30,18130.48475394075,10465.933950212098,25782.251329713577
2022-03-31,18957.53016062987,11782.682833589108,26318.398449858716
2022-04-01,18707.303106584237,11496.5704197603,25687.48304877419
2022-04-02,18686.99859666098,11405.858303310491,26131.261362623445
2022-04-03,18620.060680325387,11222.798396475344,25992.142730102478
2022-04-04,17845.357469377403,10154.335683773506,25233.659343268842
2022-04-05,19282.242262425432,12488.059505965652,26297.84591234371
2022-04-06,18183.78623026569,10414.684941414289,25743.905298436795
2022-04-07,19149.053444621088,11164.102254702037,26397.30288518154
2022-04-08,19032.031751956623,11206.757242787862,26928.474587418204
2022-04-09,19136.005778500254,12024.780261733464,26316.236838014276
2022-04-10,19180.780829386815,12158.6263723825,27114.7923689402
2022-04-11,18501.962376087267,10974.039950301549,26192.00297204873
2022-04-12,20016.11101362609,12450.412794093369,27152.41779795067
2022-04-13,18974.05560183447,11474.97139145619,26368.047954455316
2022-04-14,19973.233007954157,11984.144359132262,27320.830935917602
2022-04-15,19866.666032564546,12389.28831033657,27484.074567851174
2022-04-16,19957.36438815707,12333.629856806294,27745.32670677597
2022-04-17,19965.556623269666,12433.706718303396,27415.424776253763
2022-04-18,19227.957390005347,11493.9436935141,27047.643152772886
2022-04-19,20662.890227165735,13562.98812958929,28445.892141557182
2022-04-20,19523.54944170818,12341.569104432601,27221.614387724803
2022-04-21,20410.27093283441,13035.302402236359,28386.312510701282
2022-04-22,20179.425485173095,12485.314975446447,28147.31631356821
2022-04-23,20137.72180877149,13007.383436421838,27466.922282156323
2022-04-24,20009.330022985163,12654.069917648905,27108.071539874767
2022-04-25,19135.033102799425,12176.44458800733,26162.406700674066
2022-04-26,20437.22980581238,13209.933565652036,27799.712792178187
2022-04-27,19173.07614094321,11521.339894778303,27037.438969169343
2022-04-28,19946.638729949125,12450.637745104828,27170.02541269045
2022-04-29,19617.67702356209,11496.714495331338,26935.569924896452
2022-04-30,19495.84491325109,12348.836189309339,27454.36503684507
2022-05-01,19307.725431181138,11610.865686944411,26852.34242304244
2022-05-02,18395.908696901148,10522.333441218803,25393.786427612533
2022-05-03,19683.938834715802,12315.186929737483,27446.60216729996
2022-05-04,18429.4186289968,10926.745138546537,25415.516234832572
2022-05-05,19236.14642318088,11817.334430577066,27399.11329138579
2022-05-06,18962.902791810637,11425.532456210603,26817.697302318305
2022-05-07,18917.677488129815,10852.156156503925,25983.959678863142
2022-05-08,18824.749714250156,11676.618884739104,26503.26462113865
2022-05-09,18023.830635477345,10295.151605316192,25474.082206267958
2022-05-10,19435.092068962484,12425.46301640924,26911.156113919023
2022-05-11,18312.36781228032,10583.276763517635,26083.821012309065
2022-05-12,19255.399373590342,11589.072428368308,26992.863083311026
2022-05-13,19118.740523798915,11733.575086693716,27093.17060630058
2022-05-14,19206.10778849267,11546.301566161328,27002.203199333013
2022-05-15,19237.586362850605,11869.065256438347,26670.547178283017
2022-05-16,18548.896731510067,11363.549022682202,26298.15208332121
2022-05-17,20056.5423126578,12216.720575308767,27476.972964442622
2022-05-18,19011.121115203274,11602.969657162163,26613.490523653072
2022-05-19,20009.669928827538,11993.46844498573,27459.3895097091
2022-05-20,19904.652555481156,12562.136858725604,27707.11892576108
2022-05-21,19998.376703594757,12949.905063521863,27099.906076244235
2022-05-22,20010.24702080261,12353.168371485148,28032.682324886413
2022-05-23,19276.058089490754,11940.85087798498,26271.876669627436
2022-05-24,20713.14683834599,14093.706857768568,27760.435035086488
2022-05-25,19573.687115058783,11933.894779501094,26674.712954453964
2022-05-26,20456.995324234238,13210.925431161675,28074.78427857498
2022-05-27,20218.45964456599,12936.312384138279,27555.59497436441
2022-05-28,20163.879045409125,13141.785400073899,27975.860356219542
2022-05-29,20016.621727091428,12728.506702419098,27609.807942953703
2022-05-30,19116.809446066072,11452.370594985647,26763.506547678102
2022-05-31,20386.35023130806,13083.574513296015,27642.558208597067
2022-06-01,19082.10561575566,11142.30775348732,26369.36354508161
2022-06-02,19808.064898736262,12479.726816057306,27712.877055305846
2022-06-03,19424.14269226974,11949.950290715155,27327.790324597394
2022-06-04,19240.38973111338,11982.000323110111,26825.56400708843
2022-06-05,18984.03024260454,11590.059086613277,26111.016443258097
2022-06-06,17998.535815669413,10840.809421001602,25888.181891087548
2022-06-07,19208.561458940818,11869.751680341691,26851.700121425176
2022-06-08,17873.032768712335,10388.805418405864,25524.336897091078
2022-06-09,18597.259051283716,10813.472336249382,26246.794363807123
2022-06-10,18241.690444903732,10307.78107647498,25456.896075840563
2022-06-11,18116.110224237866,10702.614247547719,25096.319343833493
2022-06-12,17946.67616179891,10500.444919372632,25440.576161425495
2022-06-13,17075.020820933572,9911.560773015375,24540.158330703496
2022-06-14,18423.235763496286,10701.651249913275,26097.668901149256
2022-06-15,17247.02726315676,9654.263530434078,24706.031070514564
2022-06-16,18147.916453064998,10918.590226535835,25319.984166166672
2022-06-17,17982.09950575651,11075.168045322065,26041.96887182007
2022-06-18,18054.756118805137,10415.558934811224,26242.45902269801
2022-06-19,18087.21689216699,10377.228284388613,25841.73474286133
2022-06-20,17416.19589856644,10554.46846667637,25220.09280197887
2022-06-21,18958.909674351085,11081.370487130374,26521.375267674433
2022-06-22,17966.366391548625,9814.505725456507,25472.178260080153
2022-06-23,19035.694345441596,11837.15056534213,26905.46569618388
2022-06-24,19019.121706073118,11133.306245747908,26647.195905096916
